Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.02     40.50     0.01                             count_inside_points (clipping_xy.c:156 @ cc37)
  0.02     40.51     0.01                             count_inside_points (clipping_xy.c:156 @ cc52)
  0.02     40.52     0.01                             count_inside_points (clipping_xy.c:160 @ cdd0)
  0.02     40.53     0.01                             count_inside_points (clipping_xy.c:158 @ ce88)
  0.02     40.54     0.01                             count_inside_points (clipping_xy.c:158 @ cebf)
  0.02     40.55     0.01                             count_inside_points (clipping_xy.c:160 @ cecf)
  0.02     40.56     0.01                             cross_product (vec3.c:107 @ 5fe5)
  0.02     40.57     0.01                             cross_product (vec3.c:104 @ 5fe6)
  0.02     40.58     0.01                             dot_prod_unit (vec3.c:112 @ 603e)
  0.02     40.59     0.01                             draw_mesh (draw.c:370 @ 5981)
  0.02     40.60     0.01                             draw_mesh (draw.c:389 @ 5b9f)
  0.02     40.61     0.01                             draw_mesh (draw.c:416 @ 5c4b)
  0.02     40.62     0.01                             fast_line_intersect (clipping_xy.c:98 @ c8ac)
  0.02     40.63     0.01                             fill_slider (menu.c:88 @ dca1)
  0.02     40.64     0.01                             fill_slider (menu.c:93 @ dce8)
  0.02     40.65     0.01                             fill_triangle_color (fill_triangle2.c:135 @ b735)
  0.02     40.66     0.01                             fill_triangle_color (fill_triangle2.c:145 @ b7aa)
  0.02     40.67     0.01                             fill_triangle_color (fill_triangle2.c:130 @ b848)
  0.02     40.68     0.01                             fill_triangle_color (fill_triangle2.c:169 @ b95d)
  0.02     40.69     0.01                             fill_triangle_color (fill_triangle2.c:200 @ ba70)
  0.02     40.70     0.01                             fill_triangle_color (fill_triangle2.c:208 @ ba8d)
  0.02     40.71     0.01                             fill_triangle_color (fill_triangle2.c:207 @ ba91)
  0.02     40.72     0.01                             fill_triangle_color (fill_triangle2.c:208 @ bbae)
  0.02     40.73     0.01                             fill_triangle_color (fill_triangle2.c:207 @ bbb2)
  0.02     40.74     0.01                             fill_triangle_texture (fill_triangle.c:292 @ abd1)
  0.02     40.75     0.01                             fill_triangle_texture (fill_triangle.c:209 @ adcf)
  0.02     40.76     0.01                             fill_triangle_texture (fill_triangle.c:217 @ ae49)
  0.02     40.77     0.01                             fill_triangle_texture (fill_triangle.c:240 @ ae51)
  0.02     40.78     0.01                             fill_triangle_texture (fill_triangle.c:246 @ af3f)
  0.02     40.79     0.01                             fill_triangle_texture (fill_triangle.c:202 @ af55)
  0.02     40.80     0.01                             fill_triangle_texture (fill_triangle.c:250 @ b09d)
  0.02     40.81     0.01                             fill_triangle_texture (fill_triangle.c:261 @ b208)
  0.02     40.82     0.01                             fill_triangle_texture (fill_triangle.c:263 @ b212)
  0.02     40.83     0.01                             fill_triangle_texture (fill_triangle.c:270 @ b230)
  0.02     40.84     0.01                             fill_triangle_texture (fill_triangle.c:278 @ b284)
  0.02     40.85     0.01                             fill_triangle_texture (fill_triangle.c:270 @ b28c)
  0.02     40.86     0.01                             fill_triangle_texture (fill_triangle.c:281 @ b2b7)
  0.02     40.87     0.01                             ft_atoi (ft_atoi.c:39 @ eeb9)
