Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.02     80.02     0.02                             fill_triangle_color (fill_triangle2.c:200 @ baf2)
  0.02     80.03     0.02                             fill_triangle_color (fill_triangle2.c:205 @ bb5e)
  0.02     80.06     0.02                             fill_triangle_texture (fill_triangle.c:218 @ af37)
  0.02     80.08     0.02                             fill_triangle_texture (fill_triangle.c:234 @ af65)
  0.02     80.09     0.02                             fill_triangle_texture (fill_triangle.c:231 @ b090)
  0.02     80.11     0.02                             fill_triangle_texture (fill_triangle.c:270 @ b30a)
  0.02     80.14     0.02                             fill_triangle_texture (fill_triangle.c:282 @ b338)
  0.02     80.16     0.02                             fill_triangle_texture (fill_triangle.c:270 @ b36d)
  0.02     80.17     0.02                             get_unset_used_index (clipping_xy.c:73 @ cbcd)
  0.02     80.19     0.02                             get_unset_used_index (clipping_xy.c:68 @ d377)
  0.02     80.22     0.02                             huffmanDecodeSymbol (lodepng.c:1074 @ 16102)
  0.02     80.23     0.02                             inflateHuffmanBlock (lodepng.c:1281 @ 16a99)
  0.02     80.25     0.02                             inflateHuffmanBlock (lodepng.c:1314 @ 16c8d)
  0.02     80.28     0.02                             inflateHuffmanBlock (lodepng.c:1255 @ 16da1)
  0.02     80.30     0.02                             inner_loop (fill_triangle.c:152 @ b4fa)
  0.02     80.31     0.02                             my_str_cpy (get_next_line_utils.c:74 @ ff85)
  0.02     80.33     0.02                             my_str_cpy (get_next_line_utils.c:71 @ 1046c)
  0.02     80.36     0.02                             my_str_cpy (get_next_line_utils.c:70 @ 10470)
  0.02     80.38     0.02                             my_str_cpy (get_next_line_utils.c:71 @ 10473)
  0.02     80.39     0.02                             my_str_cpy (get_next_line_utils.c:80 @ 10519)
  0.02     80.42     0.02                             rasterize (draw.c:276 @ 5551)
  0.02     80.44     0.02                             rasterize (draw.c:321 @ 5708)
  0.02     80.45     0.02                             rasterize (draw.c:306 @ 573c)
  0.02     80.47     0.02                             rasterize (draw.c:310 @ 5778)
  0.02     80.50     0.02                             rasterize (draw.c:317 @ 581e)
  0.02     80.52     0.02                             reverseBits (lodepng.c:584 @ 155dc)
  0.02     80.53     0.02                             scale_to_screen (draw.c:156 @ 5674)
  0.02     80.56     0.02                             scale_to_screen (draw.c:162 @ 56a5)
  0.02     80.58     0.02                             sort_buffer (get_next_line_utils.c:98 @ 10579)
  0.02     80.59     0.02                             unfilterScanline (lodepng.c:4390 @ 1c35a)
  0.02     80.61     0.02                             unfilterScanline (lodepng.c:4494 @ 1d33f)
  0.02     80.64     0.02                             v3_add_incl_uv (fill_triangle.c:76 @ af9f)
  0.02     80.66     0.02                             v3_sub_incl_uv (fill_triangle.c:86 @ b177)
  0.02     80.67     0.01                             clipping_z_near (clipping_z.c:136 @ c4df)
  0.02     80.69     0.01                             clipping_z_near (clipping_z.c:137 @ c4e6)
  0.02     80.70     0.01                             cross_product (vec3.c:106 @ 60fe)
  0.02     80.72     0.01                             cross_product (vec3.c:102 @ 610a)
  0.02     80.73     0.01                             cross_product (vec3.c:106 @ 6112)
  0.02     80.75     0.01                             cross_product (vec3.c:102 @ 611b)
  0.02     80.76     0.01                             cross_product (vec3.c:107 @ 6145)
  0.02     80.78     0.01                             cross_product (vec3.c:104 @ 6146)
  0.02     80.79     0.01                             cross_product (vec3.c:104 @ 614e)
  0.02     80.81     0.01                             cross_product (vec3.c:106 @ 6153)
  0.02     80.82     0.01                             draw_mesh (draw.c:374 @ 5b2a)
  0.02     80.83     0.01                             draw_mesh (draw.c:407 @ 5d3a)
  0.02     80.85     0.01                             draw_mesh (draw.c:390 @ 5d42)
  0.02     80.86     0.01                             ensureBits25 (lodepng.c:539 @ 15303)
